_id,date,center_name,attendance_count
53933584,2026-04-04,West Penn Community Center,2
53933585,2026-04-04,Arlington Community Center,1
53933586,2026-04-04,Magee Community Center,7
53933587,2026-04-04,Phillips Community Center,1
53933588,2026-04-04,Warrington Community Center,9
53933589,2026-04-02,Paulson Community Center,6
53933590,2026-04-02,West Penn Community Center,137
53933591,2026-04-02,Ammon Community Center,18
53933592,2026-04-02,Arlington Community Center,44
53933593,2026-04-02,Brookline Community Center,44
53933594,2026-04-02,Magee Community Center,16
53933595,2026-04-02,Jefferson Community Center,30
53933596,2026-04-02,Ormsby Community Center,7
53933597,2026-04-02,Warrington Community Center,50
53933598,2026-04-02,Phillips Community Center,53
53933599,2026-04-01,Paulson Community Center,10
53933600,2026-04-01,West Penn Community Center,141
53933601,2026-04-01,Ammon Community Center,12
53933602,2026-04-01,Brookline Community Center,22
53933603,2026-04-01,Arlington Community Center,30
53933604,2026-04-01,Jefferson Community Center,31
53933605,2026-04-01,Magee Community Center,59
53933606,2026-04-01,Ormsby Community Center,19
53933607,2026-04-01,Phillips Community Center,57
53933608,2026-04-01,Warrington Community Center,85
53933609,2026-03-31,Paulson Community Center,1
53933610,2026-03-31,West Penn Community Center,141
53933611,2026-03-31,Ammon Community Center,16
53933612,2026-03-31,Arlington Community Center,12
53933613,2026-03-31,Brookline Community Center,58
53933614,2026-03-31,Magee Community Center,45
53933615,2026-03-31,Ormsby Community Center,12
53933616,2026-03-31,Warrington Community Center,86
53933617,2026-03-31,Phillips Community Center,52
53933618,2026-03-30,Paulson Community Center,12
53933619,2026-03-30,West Penn Community Center,69
53933620,2026-03-30,Ammon Community Center,15
53933621,2026-03-30,Arlington Community Center,50
53933622,2026-03-30,Magee Community Center,53
53933623,2026-03-30,Jefferson Community Center,22
53933624,2026-03-30,Ormsby Community Center,41
53933625,2026-03-30,Phillips Community Center,36
53933626,2026-03-30,Warrington Community Center,75
53933627,2026-03-28,Paulson Community Center,3
53933628,2026-03-28,West Penn Community Center,107
53933629,2026-03-28,Magee Community Center,8
53933630,2026-03-28,Ormsby Community Center,5
53933631,2026-03-28,Warrington Community Center,36
53933632,2026-03-28,Phillips Community Center,1
53933633,2026-03-27,Paulson Community Center,18
53933634,2026-03-27,West Penn Community Center,83
53933635,2026-03-27,Ammon Community Center,12
53933636,2026-03-27,Arlington Community Center,16
53933637,2026-03-27,Brookline Community Center,43
53933638,2026-03-27,Magee Community Center,58
53933639,2026-03-27,Jefferson Community Center,58
53933640,2026-03-27,Ormsby Community Center,44
53933641,2026-03-27,Phillips Community Center,29
53933642,2026-03-27,Warrington Community Center,74
53933643,2026-03-26,Paulson Community Center,15
53933644,2026-03-26,West Penn Community Center,127
53933645,2026-03-26,Ammon Community Center,22
53933646,2026-03-26,Brookline Community Center,55
53933647,2026-03-26,Arlington Community Center,33
53933648,2026-03-26,Jefferson Community Center,65
53933649,2026-03-26,Magee Community Center,38
53933650,2026-03-26,Ormsby Community Center,38
53933651,2026-03-26,Warrington Community Center,68
53933652,2026-03-26,Phillips Community Center,67
53933653,2026-03-25,Paulson Community Center,20
53933654,2026-03-25,West Penn Community Center,101
53933655,2026-03-25,Ammon Community Center,28
53933656,2026-03-25,Arlington Community Center,52
53933657,2026-03-25,Brookline Community Center,36
53933658,2026-03-25,Magee Community Center,29
53933659,2026-03-25,Jefferson Community Center,68
53933660,2026-03-25,Ormsby Community Center,24
53933661,2026-03-25,Phillips Community Center,39
53933662,2026-03-25,Warrington Community Center,72
53933663,2026-03-24,Paulson Community Center,17
53933664,2026-03-24,West Penn Community Center,168
53933665,2026-03-24,Ammon Community Center,7
53933666,2026-03-24,Brookline Community Center,61
53933667,2026-03-24,Arlington Community Center,46
53933668,2026-03-24,Jefferson Community Center,52
53933669,2026-03-24,Magee Community Center,45
53933670,2026-03-24,Ormsby Community Center,42
53933671,2026-03-24,Warrington Community Center,60
53933672,2026-03-24,Phillips Community Center,71
53933673,2026-03-23,Paulson Community Center,16
53933674,2026-03-23,West Penn Community Center,90
53933675,2026-03-23,Ammon Community Center,29
53933676,2026-03-23,Arlington Community Center,24
53933677,2026-03-23,Brookline Community Center,45
53933678,2026-03-23,Magee Community Center,58
53933679,2026-03-23,Jefferson Community Center,37
53933680,2026-03-23,Ormsby Community Center,14
53933681,2026-03-23,Phillips Community Center,55
53933682,2026-03-23,Warrington Community Center,78
53933683,2026-03-21,West Penn Community Center,29
53933684,2026-03-21,Ammon Community Center,1
53933685,2026-03-21,Magee Community Center,9
53933686,2026-03-21,Ormsby Community Center,3
53933687,2026-03-21,Warrington Community Center,39
53933688,2026-03-21,Phillips Community Center,46
53933689,2026-03-20,Paulson Community Center,10
53933690,2026-03-20,West Penn Community Center,87
53933691,2026-03-20,Ammon Community Center,6
53933692,2026-03-20,Brookline Community Center,38
53933693,2026-03-20,Arlington Community Center,31
53933694,2026-03-20,Magee Community Center,20
53933695,2026-03-20,Jefferson Community Center,41
53933696,2026-03-20,Ormsby Community Center,36
53933697,2026-03-20,Phillips Community Center,35
53933698,2026-03-20,Warrington Community Center,42
53933699,2026-03-19,Paulson Community Center,16
53933700,2026-03-19,West Penn Community Center,116
53933701,2026-03-19,Ammon Community Center,22
53933702,2026-03-19,Arlington Community Center,25
53933703,2026-03-19,Brookline Community Center,42
53933704,2026-03-19,Jefferson Community Center,58
53933705,2026-03-19,Magee Community Center,39
53933706,2026-03-19,Ormsby Community Center,26
53933707,2026-03-19,Warrington Community Center,43
53933708,2026-03-19,Phillips Community Center,73
53933709,2026-03-18,Paulson Community Center,12
53933710,2026-03-18,West Penn Community Center,122
53933711,2026-03-18,Ammon Community Center,50
53933712,2026-03-18,Brookline Community Center,36
53933713,2026-03-18,Arlington Community Center,28
53933714,2026-03-18,Magee Community Center,37
53933715,2026-03-18,Jefferson Community Center,40
53933716,2026-03-18,Ormsby Community Center,23
53933717,2026-03-18,Phillips Community Center,50
53933718,2026-03-18,Warrington Community Center,66
53933719,2026-03-17,Paulson Community Center,9
53933720,2026-03-17,West Penn Community Center,159
53933721,2026-03-17,Ammon Community Center,30
53933722,2026-03-17,Arlington Community Center,14
53933723,2026-03-17,Brookline Community Center,37
53933724,2026-03-17,Jefferson Community Center,46
53933725,2026-03-17,Magee Community Center,46
53933726,2026-03-17,Ormsby Community Center,29
53933727,2026-03-17,Warrington Community Center,43
53933728,2026-03-17,Phillips Community Center,72
53933729,2026-03-16,Paulson Community Center,14
53933730,2026-03-16,West Penn Community Center,64
53933731,2026-03-16,Ammon Community Center,5
53933732,2026-03-16,Brookline Community Center,40
53933733,2026-03-16,Arlington Community Center,28
53933734,2026-03-16,Magee Community Center,57
53933735,2026-03-16,Jefferson Community Center,28
53933736,2026-03-16,Ormsby Community Center,30
53933737,2026-03-16,Phillips Community Center,49
53933738,2026-03-16,Warrington Community Center,46
53933739,2026-03-14,West Penn Community Center,27
53933740,2026-03-14,Arlington Community Center,5
53933741,2026-03-14,Magee Community Center,2
53933742,2026-03-14,Ormsby Community Center,1
53933743,2026-03-14,Warrington Community Center,34
53933744,2026-03-14,Phillips Community Center,7
53933745,2026-03-13,Paulson Community Center,6
53933746,2026-03-13,West Penn Community Center,88
53933747,2026-03-13,Ammon Community Center,28
53933748,2026-03-13,Arlington Community Center,34
53933749,2026-03-13,Brookline Community Center,36
53933750,2026-03-13,Magee Community Center,80
53933751,2026-03-13,Jefferson Community Center,26
53933752,2026-03-13,Ormsby Community Center,36
53933753,2026-03-13,Phillips Community Center,60
53933754,2026-03-13,Warrington Community Center,71
53933755,2026-03-12,Paulson Community Center,17
53933756,2026-03-12,West Penn Community Center,162
53933757,2026-03-12,Ammon Community Center,57
53933758,2026-03-12,Brookline Community Center,42
53933759,2026-03-12,Arlington Community Center,18
53933760,2026-03-12,Jefferson Community Center,56
53933761,2026-03-12,Magee Community Center,60
53933762,2026-03-12,Ormsby Community Center,20
53933763,2026-03-12,Warrington Community Center,78
53933764,2026-03-12,Phillips Community Center,91
53933765,2026-03-11,Paulson Community Center,14
53933766,2026-03-11,West Penn Community Center,115
53933767,2026-03-11,Ammon Community Center,14
53933768,2026-03-11,Arlington Community Center,35
53933769,2026-03-11,Brookline Community Center,39
53933770,2026-03-11,Magee Community Center,49
53933771,2026-03-11,Jefferson Community Center,63
53933772,2026-03-11,Ormsby Community Center,54
53933773,2026-03-11,Phillips Community Center,100
53933774,2026-03-11,Warrington Community Center,63
53933775,2026-03-10,Paulson Community Center,16
53933776,2026-03-10,West Penn Community Center,125
53933777,2026-03-10,Ammon Community Center,64
53933778,2026-03-10,Brookline Community Center,39
53933779,2026-03-10,Arlington Community Center,27
53933780,2026-03-10,Jefferson Community Center,47
53933781,2026-03-10,Magee Community Center,24
53933782,2026-03-10,Ormsby Community Center,32
53933783,2026-03-10,Warrington Community Center,72
53933784,2026-03-10,Phillips Community Center,36
53933785,2026-03-09,Paulson Community Center,14
53933786,2026-03-09,West Penn Community Center,65
53933787,2026-03-09,Ammon Community Center,35
53933788,2026-03-09,Arlington Community Center,20
53933789,2026-03-09,Brookline Community Center,39
53933790,2026-03-09,Magee Community Center,76
53933791,2026-03-09,Jefferson Community Center,38
53933792,2026-03-09,Ormsby Community Center,26
53933793,2026-03-09,Phillips Community Center,68
53933794,2026-03-09,Warrington Community Center,72
53933795,2026-03-08,Phillips Community Center,14
53933796,2026-03-07,Paulson Community Center,1
53933797,2026-03-07,West Penn Community Center,25
53933798,2026-03-07,Ammon Community Center,1
53933799,2026-03-07,Arlington Community Center,6
53933800,2026-03-07,Magee Community Center,6
53933801,2026-03-07,Ormsby Community Center,1
53933802,2026-03-07,Phillips Community Center,16
53933803,2026-03-07,Warrington Community Center,27
53933804,2026-03-06,Paulson Community Center,16
53933805,2026-03-06,West Penn Community Center,77
53933806,2026-03-06,Ammon Community Center,35
53933807,2026-03-06,Arlington Community Center,23
53933808,2026-03-06,Brookline Community Center,28
53933809,2026-03-06,Magee Community Center,61
53933810,2026-03-06,Jefferson Community Center,46
53933811,2026-03-06,Ormsby Community Center,15
53933812,2026-03-06,Warrington Community Center,46
53933813,2026-03-06,Phillips Community Center,42
53933814,2026-03-05,Paulson Community Center,13
53933815,2026-03-05,West Penn Community Center,189
53933816,2026-03-05,Ammon Community Center,72
53933817,2026-03-05,Brookline Community Center,51
53933818,2026-03-05,Arlington Community Center,24
53933819,2026-03-05,Jefferson Community Center,45
53933820,2026-03-05,Magee Community Center,68
53933821,2026-03-05,Ormsby Community Center,163
53933822,2026-03-05,Phillips Community Center,80
53933823,2026-03-05,Warrington Community Center,31
53933824,2026-03-04,Paulson Community Center,11
53933825,2026-03-04,West Penn Community Center,119
53933826,2026-03-04,Ammon Community Center,51
53933827,2026-03-04,Arlington Community Center,39
53933828,2026-03-04,Brookline Community Center,35
53933829,2026-03-04,Magee Community Center,68
53933830,2026-03-04,Jefferson Community Center,27
53933831,2026-03-04,Ormsby Community Center,33
53933832,2026-03-04,Warrington Community Center,64
53933833,2026-03-04,Phillips Community Center,115
53933834,2026-03-03,Paulson Community Center,19
53933835,2026-03-03,West Penn Community Center,185
53933836,2026-03-03,Ammon Community Center,58
53933837,2026-03-03,Brookline Community Center,64
53933838,2026-03-03,Arlington Community Center,29
53933839,2026-03-03,Jefferson Community Center,64
53933840,2026-03-03,Magee Community Center,48
53933841,2026-03-03,Ormsby Community Center,26
53933842,2026-03-03,Phillips Community Center,40
53933843,2026-03-03,Warrington Community Center,55
53933844,2026-03-02,Paulson Community Center,16
53933845,2026-03-02,West Penn Community Center,135
53933846,2026-03-02,Ammon Community Center,2
53933847,2026-03-02,Arlington Community Center,31
53933848,2026-03-02,Brookline Community Center,31
53933849,2026-03-02,Magee Community Center,35
53933850,2026-03-02,Jefferson Community Center,55
53933851,2026-03-02,Ormsby Community Center,60
53933852,2026-03-02,Warrington Community Center,48
53933853,2026-03-02,Phillips Community Center,55
53933854,2026-02-28,West Penn Community Center,28
53933855,2026-02-28,Ammon Community Center,2
53933856,2026-02-28,Arlington Community Center,12
53933857,2026-02-28,Magee Community Center,10
53933858,2026-02-28,Ormsby Community Center,27
53933859,2026-02-28,Phillips Community Center,7
53933860,2026-02-28,Warrington Community Center,20
53933861,2026-02-27,Paulson Community Center,8
53933862,2026-02-27,West Penn Community Center,92
53933863,2026-02-27,Ammon Community Center,26
53933864,2026-02-27,Arlington Community Center,34
53933865,2026-02-27,Brookline Community Center,26
