Neighborhood,Id,Estimate; Total,Margin of Error; Total
Allegheny Center,1,1411,196
Allegheny West,2,343,96
Allentown,3,2558.0,449.773276218
Arlington,4,1852.0,348.188167518
Arlington Heights,5,272,126
Banksville,6,3858.0,581.107563192
Bedford Dwellings,7,1349,180
Beechview,8,8078.0,719.658252228
Beltzhoover,9,1702.0,343.072878555
Bloomfield,10,8669.0,491.348145412
Bluff,11,6294.0,395.761291689
Bon Air,12,920,171
Brighton Heights,13,7421.0,560.572921216
Brookline,14,13160.0,943.065215136
California-Kirkbride,15,803,136
Carrick,16,10122.0,826.666196236
Central Business District,17,4060.0,458.026200123
Central Lawrenceville,18,4775.0,383.429263359
Central North Side,19,2892.0,345.741232716
Central Oakland,20,5822.0,659.416408653
Chartiers City,21,560,172
Chateau,22,3,3
Crafton Heights,23,3964.0,384.981817753
Crawford-Roberts,24,2225.0,329.528450972
Duquesne Heights,25,2522.0,350.750623663
East Allegheny,26,2095.0,284.401125174
East Carnegie,27,610,120
East Hills,28,2859.0,435.754518049
East Liberty,29,5537.0,612.871112062
Elliott,30,2491.0,405.687071522
Esplen,31,309,118
Fairywood,32,1181,238
Fineview,33,1270.0,285.217460896
Friendship,34,1840.0,268.016790519
Garfield,35,3966.0,397.273205741
Glen Hazel,36,716,231
Greenfield,37,7690.0,699.464795397
Hays,38,405,109
Hazelwood,39,4257.0,666.937028512
Highland Park,40,6810.0,870.084478657
Homewood North,41,3371.0,470.499734325
Homewood South,42,2276.0,320.068742616
Homewood West,43,850.0,229.139695383
Knoxville,44,4255.0,842.565131014
Larimer,45,1641.0,322.952008819
Lincoln Place,46,3499.0,484.242707741
Lincoln-Lemington-Belmar,47,4955.0,471.055198463
Lower Lawrenceville,48,2572.0,389.97948664
Manchester,49,1944.0,257.099202644
Marshall-Shadeland,50,6195.0,737.094295189
Middle Hill,51,1760.0,287.125408141
Morningside,52,3262.0,378.788859392
Mt. Oliver Boro,53,3399.0,462.961121478
Mount Washington,54,8743.0,613.158217756
Mount Oliver,55,598,138
New Homestead,56,973,105
North Oakland,57,9602.0,628.11304715
North Shore,58,205.0,66.7532770731
Northview Heights,59,1545,299
Oakwood,60,1058,147
Overbrook,61,3682.0,347.909470983
Perry North,62,3771.0,398.571198156
Perry South,63,3398.0,479.242110002
Point Breeze,64,5414.0,333.9550868
Point Breeze North,65,1732.0,261.024903026
Polish Hill,66,1331.0,174.315805365
Regent Square,67,1033,101
Ridgemont,68,314,109
Shadyside,69,13562.0,861.984918663
Sheraden,70,5684.0,740.850862185
South Oakland,71,2921.0,513.468596898
South Shore,72,12,14
South Side Flats,73,6292.0,747.59213479
South Side Slopes,74,4583.0,516.263498613
Spring Garden,75,840.0,151.558569537
Spring Hill-City View,76,2456.0,423.935136548
Squirrel Hill North,77,11336.0,767.783172516
Squirrel Hill South,78,16042.0,889.712313054
St. Clair,79,270,96
Stanton Heights,80,4761.0,418.092095117
Strip District,81,747,94
Summer Hill,82,1191,92
Swisshelm Park,83,1345,106
Terrace Village,84,2292.0,264.463608083
Troy Hill,85,2283.0,323.167139419
Upper Hill,86,1884.0,408.074748055
Upper Lawrenceville,87,2754.0,435.70861823
West End,88,235,138
West Oakland,89,1717.0,285.001754381
Westwood,90,3537.0,407.982842777
Windgap,91,1534.0,367.828764509
